# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Age [Gyr]	Age_err
-1.16235e+00	5.00000e-02	1.00985e-01	5.00000e-02	8.83407e+00	5.00000e-01
-1.00350e+00	5.00000e-02	1.25295e-01	5.00000e-02	6.98866e+00	5.00000e-01
-1.09607e+00	5.00000e-02	6.95344e-02	5.00000e-02	7.60408e+00	5.00000e-01
-1.15410e+00	5.00000e-02	2.19426e-01	5.00000e-02	8.60055e+00	5.00000e-01
-1.12867e+00	5.00000e-02	2.69799e-01	5.00000e-02	8.20067e+00	5.00000e-01
-1.10910e+00	5.00000e-02	1.69644e-01	5.00000e-02	7.70815e+00	5.00000e-01
-1.27941e+00	5.00000e-02	2.39056e-01	5.00000e-02	8.85726e+00	5.00000e-01
-8.69564e-01	5.00000e-02	-4.32757e-02	5.00000e-02	4.83618e+00	5.00000e-01
-7.97871e-01	5.00000e-02	-1.37756e-01	5.00000e-02	3.15544e+00	5.00000e-01
-1.24769e+00	5.00000e-02	3.31081e-01	5.00000e-02	8.98225e+00	5.00000e-01
-9.43792e-01	5.00000e-02	5.94161e-02	5.00000e-02	7.25000e+00	5.00000e-01
-1.03918e+00	5.00000e-02	2.28949e-01	5.00000e-02	8.38111e+00	5.00000e-01
-1.20507e+00	5.00000e-02	1.72143e-01	5.00000e-02	7.85495e+00	5.00000e-01
-8.17894e-01	5.00000e-02	-3.56582e-02	5.00000e-02	3.18016e+00	5.00000e-01
-1.78659e+00	5.00000e-02	4.27286e-01	5.00000e-02	9.37658e+00	5.00000e-01
-1.76657e+00	5.00000e-02	4.43873e-01	5.00000e-02	9.68844e+00	5.00000e-01
-2.11903e+00	5.00000e-02	4.65056e-01	5.00000e-02	1.02308e+01	5.00000e-01
-9.31195e-01	5.00000e-02	6.30989e-02	5.00000e-02	6.10913e+00	5.00000e-01
-9.91258e-01	5.00000e-02	2.86058e-03	5.00000e-02	6.56703e+00	5.00000e-01
-8.87595e-01	5.00000e-02	3.39054e-02	5.00000e-02	5.53245e+00	5.00000e-01
-6.31234e-01	5.00000e-02	-2.95787e-01	5.00000e-02	2.09869e+00	5.00000e-01
-9.62593e-01	5.00000e-02	-5.34644e-03	5.00000e-02	6.83012e+00	5.00000e-01
-1.14930e+00	5.00000e-02	2.24972e-01	5.00000e-02	8.52945e+00	5.00000e-01
-8.68903e-01	5.00000e-02	3.59617e-02	5.00000e-02	5.48928e+00	5.00000e-01
-1.60555e+00	5.00000e-02	3.78128e-01	5.00000e-02	9.20124e+00	5.00000e-01
-1.10548e+00	5.00000e-02	1.11882e-01	5.00000e-02	7.65067e+00	5.00000e-01
-1.57995e+00	5.00000e-02	4.84462e-01	5.00000e-02	8.89975e+00	5.00000e-01
-8.22174e-01	5.00000e-02	-2.36462e-01	5.00000e-02	4.14574e+00	5.00000e-01
-1.23071e+00	5.00000e-02	1.58524e-01	5.00000e-02	7.98216e+00	5.00000e-01
-1.24437e+00	5.00000e-02	3.17717e-01	5.00000e-02	9.02720e+00	5.00000e-01
-1.29478e+00	5.00000e-02	2.54488e-01	5.00000e-02	9.58430e+00	5.00000e-01
-9.49797e-01	5.00000e-02	1.02264e-01	5.00000e-02	7.16472e+00	5.00000e-01
-1.22187e+00	5.00000e-02	1.92047e-01	5.00000e-02	8.81130e+00	5.00000e-01
-1.23312e+00	5.00000e-02	2.41623e-01	5.00000e-02	8.19657e+00	5.00000e-01
-2.07276e+00	5.00000e-02	4.60341e-01	5.00000e-02	9.30503e+00	5.00000e-01
-1.08755e+00	5.00000e-02	1.99183e-01	5.00000e-02	8.32901e+00	5.00000e-01
-9.38770e-01	5.00000e-02	1.43110e-01	5.00000e-02	7.38072e+00	5.00000e-01
-1.09576e+00	5.00000e-02	9.32669e-02	5.00000e-02	7.64107e+00	5.00000e-01
-7.65701e-01	5.00000e-02	-1.21473e-01	5.00000e-02	4.59817e+00	5.00000e-01
-1.04370e+00	5.00000e-02	9.67436e-02	5.00000e-02	7.02937e+00	5.00000e-01
-1.33950e+00	5.00000e-02	1.76500e-01	5.00000e-02	8.13042e+00	5.00000e-01
-1.12591e+00	5.00000e-02	2.66045e-01	5.00000e-02	9.13748e+00	5.00000e-01
-1.08916e+00	5.00000e-02	7.77913e-03	5.00000e-02	6.88997e+00	5.00000e-01
-1.79587e+00	5.00000e-02	4.47472e-01	5.00000e-02	1.01740e+01	5.00000e-01
-1.02664e+00	5.00000e-02	2.08514e-01	5.00000e-02	7.29870e+00	5.00000e-01
-1.08351e+00	5.00000e-02	3.48817e-02	5.00000e-02	6.93551e+00	5.00000e-01
-1.42222e+00	5.00000e-02	2.81145e-01	5.00000e-02	9.64837e+00	5.00000e-01
-1.51346e+00	5.00000e-02	2.53666e-01	5.00000e-02	9.85203e+00	5.00000e-01
-1.41322e+00	5.00000e-02	2.94392e-01	5.00000e-02	9.47244e+00	5.00000e-01
-1.25179e+00	5.00000e-02	1.89574e-01	5.00000e-02	8.41728e+00	5.00000e-01
-1.11206e+00	5.00000e-02	1.55903e-01	5.00000e-02	7.80855e+00	5.00000e-01
-1.19648e+00	5.00000e-02	2.31956e-01	5.00000e-02	7.84571e+00	5.00000e-01
-5.90994e-01	5.00000e-02	-2.44929e-01	5.00000e-02	1.50768e+00	5.00000e-01
-1.68050e+00	5.00000e-02	4.45466e-01	5.00000e-02	8.23041e+00	5.00000e-01
-1.38043e+00	5.00000e-02	2.95773e-01	5.00000e-02	9.27196e+00	5.00000e-01
-1.51614e+00	5.00000e-02	4.00886e-01	5.00000e-02	9.19620e+00	5.00000e-01
-1.08297e+00	5.00000e-02	1.92861e-01	5.00000e-02	6.30791e+00	5.00000e-01
-1.37231e+00	5.00000e-02	2.36050e-01	5.00000e-02	8.66921e+00	5.00000e-01
-1.06993e+00	5.00000e-02	2.07672e-01	5.00000e-02	8.44753e+00	5.00000e-01
-1.47552e+00	5.00000e-02	2.71929e-01	5.00000e-02	9.17828e+00	5.00000e-01
-1.50322e+00	5.00000e-02	3.84607e-01	5.00000e-02	9.33431e+00	5.00000e-01
-1.60579e+00	5.00000e-02	4.07676e-01	5.00000e-02	8.56513e+00	5.00000e-01
-1.04513e+00	5.00000e-02	1.64704e-01	5.00000e-02	7.76494e+00	5.00000e-01
-1.58738e+00	5.00000e-02	3.27684e-01	5.00000e-02	8.84084e+00	5.00000e-01
-1.46206e+00	5.00000e-02	3.89458e-01	5.00000e-02	8.24410e+00	5.00000e-01
-1.28244e+00	5.00000e-02	1.93930e-01	5.00000e-02	9.08248e+00	5.00000e-01
-9.68579e-01	5.00000e-02	8.51898e-03	5.00000e-02	6.09153e+00	5.00000e-01
-1.64511e+00	5.00000e-02	3.74144e-01	5.00000e-02	7.99693e+00	5.00000e-01
-8.99985e-01	5.00000e-02	4.08914e-02	5.00000e-02	5.90023e+00	5.00000e-01
-1.73084e+00	5.00000e-02	4.13567e-01	5.00000e-02	9.71962e+00	5.00000e-01
-6.90266e-01	5.00000e-02	-2.46037e-01	5.00000e-02	2.16492e+00	5.00000e-01
-1.17748e+00	5.00000e-02	1.31270e-01	5.00000e-02	8.54866e+00	5.00000e-01
-7.13085e-01	5.00000e-02	-2.24171e-01	5.00000e-02	1.91702e+00	5.00000e-01
-1.10668e+00	5.00000e-02	1.43942e-01	5.00000e-02	6.90965e+00	5.00000e-01
-9.91371e-01	5.00000e-02	6.51593e-02	5.00000e-02	6.05882e+00	5.00000e-01
-1.97813e+00	5.00000e-02	4.68690e-01	5.00000e-02	1.01778e+01	5.00000e-01
-1.34360e+00	5.00000e-02	3.09451e-01	5.00000e-02	9.07192e+00	5.00000e-01
-1.59096e+00	5.00000e-02	4.42811e-01	5.00000e-02	8.69650e+00	5.00000e-01
-1.28834e+00	5.00000e-02	2.64044e-01	5.00000e-02	8.80787e+00	5.00000e-01
-1.62255e+00	5.00000e-02	3.59754e-01	5.00000e-02	8.83690e+00	5.00000e-01
-1.29207e+00	5.00000e-02	3.57864e-01	5.00000e-02	8.83193e+00	5.00000e-01
-1.21129e+00	5.00000e-02	1.97620e-01	5.00000e-02	8.48126e+00	5.00000e-01
-1.75754e+00	5.00000e-02	3.99685e-01	5.00000e-02	9.40310e+00	5.00000e-01
-1.00518e+00	5.00000e-02	6.26646e-02	5.00000e-02	7.37625e+00	5.00000e-01
-1.06070e+00	5.00000e-02	2.34899e-01	5.00000e-02	7.88481e+00	5.00000e-01
-1.29236e+00	5.00000e-02	3.50330e-01	5.00000e-02	8.52189e+00	5.00000e-01
-1.19079e+00	5.00000e-02	1.70249e-01	5.00000e-02	8.63447e+00	5.00000e-01
-1.68025e+00	5.00000e-02	3.65945e-01	5.00000e-02	1.03061e+01	5.00000e-01
-1.08060e+00	5.00000e-02	4.61797e-02	5.00000e-02	8.03858e+00	5.00000e-01
-7.89910e-01	5.00000e-02	-7.80660e-02	5.00000e-02	4.68486e+00	5.00000e-01
-1.30126e+00	5.00000e-02	2.06957e-01	5.00000e-02	8.66465e+00	5.00000e-01
-1.08713e+00	5.00000e-02	7.39290e-02	5.00000e-02	6.76847e+00	5.00000e-01
-1.55394e+00	5.00000e-02	3.74943e-01	5.00000e-02	9.18592e+00	5.00000e-01
-1.04330e+00	5.00000e-02	9.49947e-02	5.00000e-02	7.62960e+00	5.00000e-01
-1.42970e+00	5.00000e-02	3.05003e-01	5.00000e-02	8.66714e+00	5.00000e-01
-1.57224e+00	5.00000e-02	2.42951e-01	5.00000e-02	8.80361e+00	5.00000e-01
-1.07743e+00	5.00000e-02	1.77246e-01	5.00000e-02	7.36051e+00	5.00000e-01
-2.01962e+00	5.00000e-02	5.20465e-01	5.00000e-02	1.00180e+01	5.00000e-01
-9.63912e-01	5.00000e-02	8.20498e-02	5.00000e-02	6.48770e+00	5.00000e-01
-2.31293e+00	5.00000e-02	4.17272e-01	5.00000e-02	8.50272e+00	5.00000e-01
-9.28087e-01	5.00000e-02	3.51739e-02	5.00000e-02	7.32212e+00	5.00000e-01
-1.23358e+00	5.00000e-02	3.11965e-01	5.00000e-02	9.47462e+00	5.00000e-01
-1.07476e+00	5.00000e-02	-2.53136e-03	5.00000e-02	6.69365e+00	5.00000e-01
-6.76813e-01	5.00000e-02	-1.89406e-01	5.00000e-02	2.98268e+00	5.00000e-01
-1.37211e+00	5.00000e-02	3.60822e-01	5.00000e-02	8.34753e+00	5.00000e-01
-1.15547e+00	5.00000e-02	1.22776e-01	5.00000e-02	8.42732e+00	5.00000e-01
-1.07411e+00	5.00000e-02	2.62376e-01	5.00000e-02	8.27822e+00	5.00000e-01
-1.09937e+00	5.00000e-02	2.27330e-01	5.00000e-02	8.00575e+00	5.00000e-01
-1.44960e+00	5.00000e-02	3.52556e-01	5.00000e-02	8.79184e+00	5.00000e-01
-7.75857e-01	5.00000e-02	-7.63701e-02	5.00000e-02	3.69936e+00	5.00000e-01
-1.22478e+00	5.00000e-02	1.94597e-01	5.00000e-02	8.93090e+00	5.00000e-01
-9.46919e-01	5.00000e-02	-7.96239e-03	5.00000e-02	5.64485e+00	5.00000e-01
-1.01151e+00	5.00000e-02	8.53744e-02	5.00000e-02	6.39908e+00	5.00000e-01
-1.36652e+00	5.00000e-02	2.36505e-01	5.00000e-02	9.54166e+00	5.00000e-01
-9.05342e-01	5.00000e-02	6.62710e-02	5.00000e-02	6.01732e+00	5.00000e-01
-1.26657e+00	5.00000e-02	2.14009e-01	5.00000e-02	8.07406e+00	5.00000e-01
