# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-1.31379e+00	5.00000e-02	2.62396e-01	5.00000e-02	1.05434e+00	5.00000e-02
-6.09297e-01	5.00000e-02	5.19797e-02	5.00000e-02	7.65598e-01	5.00000e-02
-1.41172e+00	5.00000e-02	3.02088e-01	5.00000e-02	1.10043e+00	5.00000e-02
-1.67815e+00	5.00000e-02	3.74444e-01	5.00000e-02	1.09142e+00	5.00000e-02
-1.12101e+00	5.00000e-02	2.18214e-01	5.00000e-02	9.39403e-01	5.00000e-02
-7.77820e-01	5.00000e-02	2.56220e-01	5.00000e-02	9.36953e-01	5.00000e-02
-7.90441e-01	5.00000e-02	1.03625e-01	5.00000e-02	8.83319e-01	5.00000e-02
-1.44465e+00	5.00000e-02	2.68216e-01	5.00000e-02	1.02518e+00	5.00000e-02
-8.83679e-01	5.00000e-02	7.03773e-02	5.00000e-02	9.84107e-01	5.00000e-02
-8.00517e-01	5.00000e-02	1.41997e-01	5.00000e-02	9.82193e-01	5.00000e-02
-7.79364e-01	5.00000e-02	1.29537e-01	5.00000e-02	9.32481e-01	5.00000e-02
-1.20847e+00	5.00000e-02	2.05280e-01	5.00000e-02	1.08938e+00	5.00000e-02
-5.34271e-01	5.00000e-02	1.54103e-02	5.00000e-02	8.43371e-01	5.00000e-02
-1.70123e+00	5.00000e-02	4.48505e-01	5.00000e-02	1.10789e+00	5.00000e-02
-9.00729e-01	5.00000e-02	1.97509e-01	5.00000e-02	9.57885e-01	5.00000e-02
-1.05164e+00	5.00000e-02	2.48475e-01	5.00000e-02	9.93635e-01	5.00000e-02
-8.03301e-01	5.00000e-02	1.16190e-01	5.00000e-02	8.49244e-01	5.00000e-02
-1.12557e+00	5.00000e-02	2.70199e-01	5.00000e-02	9.92667e-01	5.00000e-02
-8.72997e-01	5.00000e-02	1.05395e-01	5.00000e-02	8.35126e-01	5.00000e-02
-5.95955e-01	5.00000e-02	2.66386e-02	5.00000e-02	9.16302e-01	5.00000e-02
-8.77031e-01	5.00000e-02	2.29991e-01	5.00000e-02	9.84758e-01	5.00000e-02
-6.20001e-01	5.00000e-02	9.93895e-02	5.00000e-02	8.60764e-01	5.00000e-02
-9.47611e-01	5.00000e-02	1.69547e-01	5.00000e-02	1.09126e+00	5.00000e-02
-1.05054e+00	5.00000e-02	1.48250e-01	5.00000e-02	1.07790e+00	5.00000e-02
-1.45750e+00	5.00000e-02	3.07205e-01	5.00000e-02	1.08518e+00	5.00000e-02
-1.39892e+00	5.00000e-02	2.47660e-01	5.00000e-02	1.07410e+00	5.00000e-02
-8.47719e-01	5.00000e-02	2.21574e-01	5.00000e-02	9.89470e-01	5.00000e-02
-1.16365e+00	5.00000e-02	2.63266e-01	5.00000e-02	1.02591e+00	5.00000e-02
-1.17096e+00	5.00000e-02	2.48625e-01	5.00000e-02	9.47543e-01	5.00000e-02
-9.33150e-01	5.00000e-02	1.77380e-01	5.00000e-02	9.16975e-01	5.00000e-02
-1.22060e+00	5.00000e-02	3.16434e-01	5.00000e-02	1.04647e+00	5.00000e-02
-1.42965e+00	5.00000e-02	2.79567e-01	5.00000e-02	1.08733e+00	5.00000e-02
-1.24578e+00	5.00000e-02	1.99496e-01	5.00000e-02	9.04134e-01	5.00000e-02
-1.64139e+00	5.00000e-02	3.08806e-01	5.00000e-02	1.09147e+00	5.00000e-02
-1.06458e+00	5.00000e-02	2.75121e-01	5.00000e-02	9.46618e-01	5.00000e-02
-1.08299e+00	5.00000e-02	1.73366e-01	5.00000e-02	9.98543e-01	5.00000e-02
-1.14347e+00	5.00000e-02	2.22746e-01	5.00000e-02	1.02218e+00	5.00000e-02
-8.75968e-01	5.00000e-02	8.88411e-02	5.00000e-02	9.42667e-01	5.00000e-02
-1.25827e+00	5.00000e-02	2.20061e-01	5.00000e-02	1.15953e+00	5.00000e-02
-1.46700e+00	5.00000e-02	3.45957e-01	5.00000e-02	1.09452e+00	5.00000e-02
-1.11765e+00	5.00000e-02	2.30370e-01	5.00000e-02	1.02853e+00	5.00000e-02
-1.94896e+00	5.00000e-02	3.95494e-01	5.00000e-02	1.12474e+00	5.00000e-02
-9.68743e-01	5.00000e-02	2.15263e-01	5.00000e-02	1.06612e+00	5.00000e-02
-7.55939e-01	5.00000e-02	2.29592e-01	5.00000e-02	9.18771e-01	5.00000e-02
-9.43576e-01	5.00000e-02	1.90640e-01	5.00000e-02	1.07953e+00	5.00000e-02
-6.81238e-01	5.00000e-02	2.44507e-02	5.00000e-02	8.51068e-01	5.00000e-02
-1.18278e+00	5.00000e-02	2.22166e-01	5.00000e-02	1.02689e+00	5.00000e-02
-1.28029e+00	5.00000e-02	2.65272e-01	5.00000e-02	1.14848e+00	5.00000e-02
-1.07689e+00	5.00000e-02	1.43548e-01	5.00000e-02	1.00558e+00	5.00000e-02
-1.03148e+00	5.00000e-02	1.91456e-01	5.00000e-02	1.01365e+00	5.00000e-02
-5.66659e-01	5.00000e-02	9.09554e-02	5.00000e-02	7.12499e-01	5.00000e-02
-1.62346e+00	5.00000e-02	4.22438e-01	5.00000e-02	9.92653e-01	5.00000e-02
-9.37680e-01	5.00000e-02	1.37468e-01	5.00000e-02	9.05237e-01	5.00000e-02
-9.61781e-01	5.00000e-02	1.30064e-01	5.00000e-02	1.06899e+00	5.00000e-02
-7.66022e-01	5.00000e-02	9.73170e-02	5.00000e-02	9.39044e-01	5.00000e-02
-1.98873e+00	5.00000e-02	5.08014e-01	5.00000e-02	1.02022e+00	5.00000e-02
-1.07428e+00	5.00000e-02	2.70042e-01	5.00000e-02	1.03954e+00	5.00000e-02
-1.07428e+00	5.00000e-02	2.17286e-01	5.00000e-02	1.05172e+00	5.00000e-02
-9.04135e-01	5.00000e-02	2.00826e-01	5.00000e-02	9.79687e-01	5.00000e-02
-1.15728e+00	5.00000e-02	1.37354e-01	5.00000e-02	1.04458e+00	5.00000e-02
-1.05885e+00	5.00000e-02	1.44546e-01	5.00000e-02	9.55266e-01	5.00000e-02
-2.36016e+00	5.00000e-02	4.38598e-01	5.00000e-02	1.09327e+00	5.00000e-02
-6.39810e-01	5.00000e-02	1.04768e-01	5.00000e-02	9.04015e-01	5.00000e-02
-1.41016e+00	5.00000e-02	2.88127e-01	5.00000e-02	1.10395e+00	5.00000e-02
-1.17612e+00	5.00000e-02	2.38640e-01	5.00000e-02	1.13493e+00	5.00000e-02
-7.35042e-01	5.00000e-02	2.35331e-01	5.00000e-02	9.56450e-01	5.00000e-02
-9.22412e-01	5.00000e-02	2.43146e-01	5.00000e-02	1.03951e+00	5.00000e-02
-6.54335e-01	5.00000e-02	1.08280e-01	5.00000e-02	9.31922e-01	5.00000e-02
-1.13485e+00	5.00000e-02	3.25387e-01	5.00000e-02	1.09030e+00	5.00000e-02
-9.75629e-01	5.00000e-02	1.95683e-01	5.00000e-02	1.04612e+00	5.00000e-02
-1.10705e+00	5.00000e-02	2.12117e-01	5.00000e-02	1.07593e+00	5.00000e-02
-6.19614e-01	5.00000e-02	1.07572e-01	5.00000e-02	8.51909e-01	5.00000e-02
-9.16265e-01	5.00000e-02	1.55648e-01	5.00000e-02	9.34022e-01	5.00000e-02
