# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Log(age/Gyr)	Log(age/Gyr)_err
-1.16581e+00	5.00000e-02	3.70161e-01	5.00000e-02	nan	nan
-1.96773e+00	5.00000e-02	2.94351e-01	5.00000e-02	nan	nan
-3.91595e-01	5.00000e-02	-5.93763e-02	5.00000e-02	nan	nan
-1.57193e+00	5.00000e-02	3.26262e-01	5.00000e-02	nan	nan
-5.36082e-01	5.00000e-02	2.71577e-02	5.00000e-02	nan	nan
-1.66297e+00	5.00000e-02	3.82690e-01	5.00000e-02	nan	nan
-9.58287e-01	5.00000e-02	8.24573e-02	5.00000e-02	nan	nan
-1.28656e+00	5.00000e-02	3.92902e-01	5.00000e-02	nan	nan
-1.53461e+00	5.00000e-02	3.28284e-01	5.00000e-02	nan	nan
-8.40976e-01	5.00000e-02	1.37006e-01	5.00000e-02	nan	nan
-1.90833e+00	5.00000e-02	4.05257e-01	5.00000e-02	nan	nan
-5.91412e-01	5.00000e-02	5.91676e-02	5.00000e-02	nan	nan
-1.28872e+00	5.00000e-02	2.32009e-01	5.00000e-02	nan	nan
-4.11287e-01	5.00000e-02	2.47644e-02	5.00000e-02	nan	nan
-7.69477e-01	5.00000e-02	1.49279e-01	5.00000e-02	nan	nan
-7.82800e-01	5.00000e-02	6.42936e-02	5.00000e-02	nan	nan
-8.14930e-01	5.00000e-02	1.83644e-01	5.00000e-02	nan	nan
-7.15512e-01	5.00000e-02	7.01942e-02	5.00000e-02	nan	nan
-8.46437e-01	5.00000e-02	1.91114e-01	5.00000e-02	nan	nan
-1.02938e+00	5.00000e-02	3.07401e-01	5.00000e-02	nan	nan
-6.64723e-01	5.00000e-02	7.45112e-02	5.00000e-02	nan	nan
-6.29360e-01	5.00000e-02	5.95081e-02	5.00000e-02	nan	nan
-1.16176e+00	5.00000e-02	1.29833e-01	5.00000e-02	nan	nan
-1.02221e+00	5.00000e-02	2.46236e-01	5.00000e-02	nan	nan
-9.84369e-01	5.00000e-02	2.00658e-01	5.00000e-02	nan	nan
-1.73176e+00	5.00000e-02	3.87272e-01	5.00000e-02	nan	nan
-1.49412e+00	5.00000e-02	2.91053e-01	5.00000e-02	nan	nan
-9.85040e-01	5.00000e-02	1.93525e-01	5.00000e-02	nan	nan
-7.74960e-01	5.00000e-02	8.33366e-02	5.00000e-02	nan	nan
-8.87182e-01	5.00000e-02	1.97302e-01	5.00000e-02	nan	nan
-1.01943e+00	5.00000e-02	1.66248e-01	5.00000e-02	nan	nan
-5.98009e-01	5.00000e-02	3.44980e-02	5.00000e-02	nan	nan
-8.69832e-01	5.00000e-02	1.74016e-01	5.00000e-02	nan	nan
-6.04479e-01	5.00000e-02	5.40263e-02	5.00000e-02	nan	nan
-9.51126e-01	5.00000e-02	1.36548e-01	5.00000e-02	nan	nan
-5.19296e-01	5.00000e-02	-1.85516e-02	5.00000e-02	nan	nan
-1.15787e+00	5.00000e-02	2.32077e-01	5.00000e-02	nan	nan
-5.49891e-01	5.00000e-02	1.21452e-01	5.00000e-02	nan	nan
-7.01158e-01	5.00000e-02	7.72806e-02	5.00000e-02	nan	nan
-1.46385e+00	5.00000e-02	2.62184e-01	5.00000e-02	nan	nan
-9.57121e-01	5.00000e-02	5.75435e-02	5.00000e-02	nan	nan
-5.51858e-01	5.00000e-02	1.24093e-01	5.00000e-02	nan	nan
-1.15411e+00	5.00000e-02	2.97173e-01	5.00000e-02	nan	nan
-1.28980e+00	5.00000e-02	2.61439e-01	5.00000e-02	nan	nan
-1.59428e+00	5.00000e-02	3.78944e-01	5.00000e-02	nan	nan
-7.68178e-01	5.00000e-02	9.33602e-02	5.00000e-02	nan	nan
-1.26527e+00	5.00000e-02	2.67894e-01	5.00000e-02	nan	nan
-1.60383e+00	5.00000e-02	3.45313e-01	5.00000e-02	nan	nan
-1.00591e+00	5.00000e-02	1.93624e-01	5.00000e-02	nan	nan
-2.04483e+00	5.00000e-02	3.52421e-01	5.00000e-02	nan	nan
-9.44854e-01	5.00000e-02	1.31322e-01	5.00000e-02	nan	nan
-7.09460e-01	5.00000e-02	5.18563e-02	5.00000e-02	nan	nan
