# [Fe/H]	[Fe/H]_err	[O/Fe]	[O/Fe]_err	Age [Gyr]	Age_err
-1.31018e+00	2.00000e-01	-1.19790e-01	2.00000e-01	9.65813e+00	1.00000e+00
-9.78867e-01	2.00000e-01	2.10388e-01	2.00000e-01	6.87732e+00	1.00000e+00
-1.14908e+00	2.00000e-01	-1.72937e-01	2.00000e-01	7.45816e+00	1.00000e+00
-1.26832e+00	2.00000e-01	3.48114e-01	2.00000e-01	9.17110e+00	1.00000e+00
-9.08683e-01	2.00000e-01	3.97682e-01	2.00000e-01	7.90135e+00	1.00000e+00
-1.27648e+00	2.00000e-01	2.84644e-01	2.00000e-01	7.88629e+00	1.00000e+00
-1.54469e+00	2.00000e-01	2.92378e-01	2.00000e-01	9.26452e+00	1.00000e+00
-8.60725e-01	2.00000e-01	-7.10337e-02	2.00000e-01	4.43235e+00	1.00000e+00
-1.01485e+00	2.00000e-01	-1.77118e-02	2.00000e-01	3.00089e+00	1.00000e+00
-1.28271e+00	2.00000e-01	5.90989e-01	2.00000e-01	9.32450e+00	1.00000e+00
-8.88168e-01	2.00000e-01	8.07254e-02	2.00000e-01	8.00999e+00	1.00000e+00
-7.81238e-01	2.00000e-01	3.68375e-01	2.00000e-01	8.67222e+00	1.00000e+00
-1.51926e+00	2.00000e-01	1.90701e-01	2.00000e-01	7.78989e+00	1.00000e+00
-8.03801e-01	2.00000e-01	1.05799e-01	2.00000e-01	1.81032e+00	1.00000e+00
-1.87198e+00	2.00000e-01	4.67772e-01	2.00000e-01	9.14315e+00	1.00000e+00
-1.97911e+00	2.00000e-01	5.74218e-01	2.00000e-01	9.82687e+00	1.00000e+00
-2.26469e+00	2.00000e-01	5.12279e-01	2.00000e-01	1.06416e+01	1.00000e+00
-9.30401e-01	2.00000e-01	1.83184e-01	2.00000e-01	6.14826e+00	1.00000e+00
-1.05054e+00	2.00000e-01	-1.71052e-01	2.00000e-01	6.52407e+00	1.00000e+00
-8.58451e-01	2.00000e-01	1.65280e-01	2.00000e-01	5.47489e+00	1.00000e+00
-5.62621e-01	2.00000e-01	-4.40478e-01	2.00000e-01	1.70737e+00	1.00000e+00
-9.79151e-01	2.00000e-01	-1.63541e-01	2.00000e-01	7.24025e+00	1.00000e+00
-1.07983e+00	2.00000e-01	2.66836e-01	2.00000e-01	8.69890e+00	1.00000e+00
-5.65746e-01	2.00000e-01	-3.43679e-02	2.00000e-01	4.38856e+00	1.00000e+00
-1.57566e+00	2.00000e-01	3.70538e-01	2.00000e-01	8.94248e+00	1.00000e+00
-1.25230e+00	2.00000e-01	4.60037e-02	2.00000e-01	7.74134e+00	1.00000e+00
-1.65537e+00	2.00000e-01	8.46330e-01	2.00000e-01	8.41950e+00	1.00000e+00
-9.41141e-01	2.00000e-01	-5.79755e-01	2.00000e-01	4.27148e+00	1.00000e+00
-1.53317e+00	2.00000e-01	7.76058e-02	2.00000e-01	7.84433e+00	1.00000e+00
-1.35082e+00	2.00000e-01	5.78547e-01	2.00000e-01	9.52439e+00	1.00000e+00
-1.09691e+00	2.00000e-01	1.22125e-01	2.00000e-01	1.01486e+01	1.00000e+00
-8.75397e-01	2.00000e-01	2.17975e-01	2.00000e-01	7.67944e+00	1.00000e+00
-1.35819e+00	2.00000e-01	1.28399e-01	2.00000e-01	9.24260e+00	1.00000e+00
-1.63146e+00	2.00000e-01	4.68622e-01	2.00000e-01	8.47313e+00	1.00000e+00
-2.07961e+00	2.00000e-01	4.93417e-01	2.00000e-01	8.79006e+00	1.00000e+00
-1.14004e+00	2.00000e-01	3.64226e-01	2.00000e-01	8.97802e+00	1.00000e+00
-5.34337e-01	2.00000e-01	1.32021e-01	2.00000e-01	7.05145e+00	1.00000e+00
-1.17290e+00	2.00000e-01	-5.94394e-02	2.00000e-01	7.60215e+00	1.00000e+00
-7.08291e-01	2.00000e-01	-1.26610e-01	2.00000e-01	5.14635e+00	1.00000e+00
-1.07883e+00	2.00000e-01	4.46260e-02	2.00000e-01	6.73873e+00	1.00000e+00
-1.58440e+00	2.00000e-01	-5.86648e-02	2.00000e-01	7.54084e+00	1.00000e+00
-9.30697e-01	2.00000e-01	4.00334e-01	2.00000e-01	9.82496e+00	1.00000e+00
-1.28899e+00	2.00000e-01	-2.87515e-01	2.00000e-01	6.55994e+00	1.00000e+00
-1.76950e+00	2.00000e-01	5.22276e-01	2.00000e-01	1.06980e+01	1.00000e+00
-9.83998e-01	2.00000e-01	4.69914e-01	2.00000e-01	7.18739e+00	1.00000e+00
-1.22047e+00	2.00000e-01	-2.17301e-01	2.00000e-01	6.49103e+00	1.00000e+00
-1.38590e+00	2.00000e-01	1.47837e-01	2.00000e-01	1.01167e+01	1.00000e+00
-1.30161e+00	2.00000e-01	-1.01772e-01	2.00000e-01	1.02841e+01	1.00000e+00
-1.74916e+00	2.00000e-01	3.54617e-01	2.00000e-01	1.00849e+01	1.00000e+00
-1.24206e+00	2.00000e-01	-2.37896e-03	2.00000e-01	8.12457e+00	1.00000e+00
-1.15130e+00	2.00000e-01	1.28566e-01	2.00000e-01	7.70710e+00	1.00000e+00
-1.21296e+00	2.00000e-01	2.63978e-01	2.00000e-01	7.24143e+00	1.00000e+00
-6.27297e-01	2.00000e-01	-1.71900e-02	2.00000e-01	1.31535e+00	1.00000e+00
-1.74708e+00	2.00000e-01	6.07195e-01	2.00000e-01	6.95082e+00	1.00000e+00
-1.20323e+00	2.00000e-01	2.00987e-01	2.00000e-01	9.35393e+00	1.00000e+00
-1.50169e+00	2.00000e-01	5.42256e-01	2.00000e-01	9.06241e+00	1.00000e+00
-1.18467e+00	2.00000e-01	3.87537e-01	2.00000e-01	5.12583e+00	1.00000e+00
-1.36926e+00	2.00000e-01	3.38614e-02	2.00000e-01	8.28843e+00	1.00000e+00
-7.68242e-01	2.00000e-01	2.00983e-01	2.00000e-01	8.54507e+00	1.00000e+00
